aliment,type,mois,int_mois
pomme de terre,legume,septembre,9
pomme de terre,legume,octobre,10
pomme de terre,legume,novembre,11
pomme de terre,legume,decembre,12
pomme de terre,legume,janvier,1
pomme de terre,legume,février,2
pomme de terre,legume,mars,3
potimarron,legume,septembre,9
potimarron,legume,octobre,10
potimarron,legume,novembre,11
potimarron,legume,decembre,12
Salade verte,legume,janvier,1
Ail,legume,janvier,1
Betterave,legume,janvier,1
Carotte,legume,janvier,1
Céleri-branche,legume,janvier,1
Céleri,legume,janvier,1
Chou,legume,janvier,1
Chou blanc,legume,janvier,1
Chou de Bruxelles,legume,janvier,1
Chou frisé,legume,janvier,1
Chou rouge,legume,janvier,1
Courge,legume,janvier,1
Crosne,legume,janvier,1
Endive,legume,janvier,1
Epinards,legume,janvier,1
Frisée,legume,janvier,1
Mâche,legume,janvier,1
Navet,legume,janvier,1
Oignon,legume,janvier,1
Panais,legume,janvier,1
Poireau,legume,janvier,1
Pomme de terre de conservation,legume,janvier,1
Salsifi,legume,janvier,1
Topinambour,legume,janvier,1
Amande sèche,fruit,janvier,1
Citron,fruit,janvier,1
Clémentine,fruit,janvier,1
Kaki,fruit,janvier,1
Kiwi,fruit,janvier,1
Mandarine,fruit,janvier,1
Orange,fruit,janvier,1
Pamplemousse,fruit,janvier,1
Physalis,fruit,janvier,1
Poire,fruit,janvier,1
Pomme,fruit,janvier,1
Salade verte,legume,février,2
Ail,legume,février,2
Betterave,legume,février,2
Carotte,legume,février,2
Céleri,legume,février,2
Chou blanc,legume,février,2
Chou de Bruxelles,legume,février,2
Chou frisé,legume,février,2
Chou rouge,legume,février,2
Crosne,legume,février,2
Endive,legume,février,2
Epinards,legume,février,2
Frisée,legume,février,2
Mâche,legume,février,2
Navet,legume,février,2
Oignon,legume,février,2
Panais,legume,février,2
Poireau,legume,février,2
Pomme de terre de conservation,legume,février,2
Radis,legume,février,2
Salsifi,legume,février,2
Topinambour,legume,février,2
Amande sèche,fruit,février,2
Citron,fruit,février,2
Clémentine,fruit,février,2
Kiwi,fruit,février,2
Mandarine,fruit,février,2
Orange,fruit,février,2
Pamplemousse,fruit,février,2
Physalis,fruit,février,2
