Date,Plat,category,isPresent
2011-03-22,rôti de bœuf,autre protéine,True
2011-04-19,Omelette,autre protéine,True
2011-04-26,Bœuf Bourguignon,autre protéine,True
2011-12-28,sauté de bœuf Dijonnaise,autre protéine,True
2012-01-26,Rôti de bœuf,autre protéine,True
2012-03-06,sauté de bœuf,autre protéine,True
2012-08-27,Sauté de boeuf,autre protéine,True
2012-10-03,Sauté de bœuf Bourguignon,autre protéine,True
2013-10-30,Rôti de bœuf +jus,autre protéine,True
2013-11-07,Sauté de bœuf,autre protéine,True
2014-03-28,Omelettte,autre protéine,True
2014-04-11,œufs durs,autre protéine,True
2014-08-11,1/2 œuf,autre protéine,True
2014-08-27,Boulettes de bœuf,autre protéine,True
2015-02-19,Rôti de bœuf Terre à l'assiette,autre protéine,True
2015-03-27,Galettes végétale,autre protéine,True
2015-05-04,Œufs durs,autre protéine,True
2015-05-19,Omelette,autre protéine,True
2015-05-29,Galettes végétales,autre protéine,True
2015-08-05,Rôti de bœuf,autre protéine,True
2015-09-11,omelette,autre protéine,True
2015-09-15,Chili de bœuf,autre protéine,True
2015-10-29,Rôti de bœuf Terre à l'assiette,autre protéine,True
2015-12-23,Salade verte / demi-oeuf,autre protéine,True
2016-01-04,Oeufs durs mayo,autre protéine,True
2016-03-07,chili de bœuf Socopa BBC,autre protéine,True
2016-04-19,Rôti de bœuf au jus,autre protéine,True
2016-07-07,Sauté de bœuf,autre protéine,True
2016-08-01,Salade/demi-oeuf,autre protéine,True
2016-11-21,Omelette bio,autre protéine,True
2016-12-09,Galette de soja à l'indienne,autre protéine,True
2017-02-17,Salade douceur / demi-oeuf,autre protéine,True
2017-03-09,Sauté de boeuf* bourguignon,autre protéine,True
2017-10-06,Omelette bio,autre protéine,True
2018-02-02,Oeuf dur bio° / mayonnaise,autre protéine,True
2018-03-19,Boulettes de boeuf* sauce barbecue,autre protéine,True
2018-08-16,Oeufs durs à la mayonnaise,autre protéine,True
2018-09-12,Omelette bio,autre protéine,True
2018-10-17,Omelette bio,autre protéine,True
2018-12-10,Boulettes de boeuf sauce tomate,autre protéine,True
2018-12-26,Omelette bio,autre protéine,True
2019-04-05,Salade douceur / demi-oeuf,autre protéine,True
2019-05-10,Salade verte / demi-oeuf bio,autre protéine,True
2019-07-10,Rôti de boeuf*,autre protéine,True
2019-10-31,Rôti de boeuf*,autre protéine,True
2019-11-07,Rôti de boeuf*,autre protéine,True
2019-12-09,Omelette bio,autre protéine,True
2020-01-03,Oeuf dur bio + sauce bechamel en barquette 12,autre protéine,True
2011-02-02,Rôti de boeuf,autre protéine,True
2011-03-04,Œufs brouillés,autre protéine,True
2011-04-14,Mâche demi-œuf,autre protéine,True
